species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,16.929125894805452,-0.2,16.729125894805453,SHCI_PBE_D0,16.85,17.0,-0.12087410519454878
li2,Li2,24.34954543179296,-0.5,23.84954543179296,SHCI_PBE_D0,23.84,23.9,0.009545431792961523
f2,F2,39.069081050265076,-2.09,36.97908105026508,SHCI_PBE_D0,36.93,36.93,0.04908105026508025
be_h,BeH,51.27486012624471,-2.94,48.33486012624471,SHCI_PBE_D0,47.8,47.7,0.5348601262447161
li_h,LiH,58.438367496633,-2.01,56.428367496633,SHCI_PBE_D0,56.02,55.7,0.408367496632998
si2,Si2,74.57717541020854,-1.74,72.83717541020854,SHCI_PBE_D0,75.03,74.4,-2.1928245897914564
n_h,NH,83.59539141746832,-4.71,78.88539141746833,SHCI_PBE_D0,78.55,78.36,0.3353914174683297
c_h,CH,84.7553409489749,-4.12,80.6353409489749,SHCI_PBE_D0,80.16,79.97,0.4753409489749032
s2,S2,102.10898427015239,-2.44,99.6689842701524,SHCI_PBE_D0,101.51,100.8,-1.8410157298476122
o_h,OH,107.6984615118806,-5.53,102.1684615118806,SHCI_PBE_D0,101.81,101.73,0.3584615118805914
p2,P2,113.84526073569867,-1.36,112.48526073569867,SHCI_PBE_D0,116.29,116.0,-3.8047392643013325
o2,O2,120.81720579397145,-2.87,117.94720579397145,SHCI_PBE_D0,117.95,117.99,-0.0027942060285539583
s_o,SO,127.37245019774916,-2.7199999999999998,124.65245019774916,SHCI_PBE_D0,123.67,123.5,0.9824501977491593
si_h2_triplet,SiH2(3B1),133.22741436174982,-8.3,124.92741436174983,SHCI_PBE_D0,124.42,123.4,0.5074143617498237
h_f,HF,142.2946230198843,-6.44,135.85462301988431,SHCI_PBE_D0,135.37,135.27,0.4846230198843102
li_f,LiF,139.7476701406129,-1.9,137.8476701406129,SHCI_PBE_D0,137.34,137.6,0.5076701406129018
p_h2,PH2,154.59871802559312,-8.6,145.99871802559312,SHCI_PBE_D0,145.96,144.7,0.03871802559311277
si_h2_singlet,SiH2(1A1),154.17563118843154,-7.8999999999999995,146.27563118843153,SHCI_PBE_D0,146.05,144.1,0.22563118843152097
n_o,NO,153.4947970354367,-2.94,150.5547970354367,SHCI_PBE_D0,150.23,149.81,0.3247970354367169
c_s,CS,171.50120472444414,-2.63,168.87120472444414,SHCI_PBE_D0,169.67,170.4,-0.7987952755558467
c_h2_singlet,CH2(1A1),182.19638642137014,-10.459999999999999,171.73638642137013,SHCI_PBE_D0,171.1,170.83,0.6363864213701333
n_h2,NH2,183.54531350390164,-11.76,171.78531350390165,SHCI_PBE_D0,171.1,170.59,0.6853135039016536
h2_s,H2S,184.51094369197463,-10.33,174.18094369197462,SHCI_PBE_D0,173.41,173.2,0.7709436919746224
c_n,CN,180.94658212529447,-3.1900000000000004,177.75658212529447,SHCI_PBE_D0,178.58,178.12,-0.823417874705541
c_h2_triplet,CH2(3B1),191.66469234504856,-10.780000000000001,180.88469234504856,SHCI_PBE_D0,179.95,179.83,0.9346923450485747
si_o,SiO,193.28335828247694,-2.68,190.60335828247693,SHCI_PBE_D0,190.53,189.8,0.07335828247693144
si_h3,SiH3,228.42652478900425,-14.0,214.42652478900425,SHCI_PBE_D0,214.02,212.2,0.40652478900423716
h2_o,H2O,234.0917538091262,-13.75,220.3417538091262,SHCI_PBE_D0,219.51,219.37,0.8317538091262122
n2,N2,229.11635894893703,-3.5,225.61635894893703,SHCI_PBE_D0,225.62,224.94,-0.003641051062970746
p_h3,PH3,242.77858135144726,-14.879999999999999,227.89858135144726,SHCI_PBE_D0,227.36,227.1,0.5385813514472488
h2_o2,H2O2,270.60801653674906,-17.26,253.34801653674907,SHCI_PBE_D0,252.33,252.21,1.0180165367490588
s_o2,SO2,262.09508027888137,-6.17,255.92508027888138,SHCI_PBE_D0,255.0,254.46,0.9250802788813814
c_o,CO,260.7079781467445,-3.55,257.1579781467445,SHCI_PBE_D0,256.47,256.23,0.6879781467444559
n_h3,NH3,299.52999427995996,-21.6,277.92999427995994,SHCI_PBE_D0,276.97,276.59,0.9599942799599148
h_c_n,HCN,314.2678420443054,-10.26,304.0078420443054,SHCI_PBE_D0,303.76,303.14,0.24784204430540058
si_h4,SiH4,325.40761640046804,-20.4,305.00761640046807,SHCI_PBE_D0,304.27,302.6,0.7376164004680845
h2_c_o,H2CO,376.3620765948994,-17.169999999999998,359.1920765948994,SHCI_PBE_D0,357.88,357.48,1.3120765948993949
c_o2,CO2,392.054454515326,-8.25,383.804454515326,SHCI_PBE_D0,382.46,381.98,1.3444545153259924
c2_h2,C2H2,406.45716953169455,-16.96,389.49716953169457,SHCI_PBE_D0,388.84,388.64,0.657169531694592
c_h4,CH4,422.16345011403473,-28.009999999999998,394.15345011403474,SHCI_PBE_D0,392.56,392.47,1.593450114034738
