species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,16.981539838526572,-0.2,16.781539838526573,SHCI_PBE_D0,16.85,17.0,-0.06846016147342837
li2,Li2,24.324208493682782,-0.5,23.824208493682782,SHCI_PBE_D0,23.84,23.9,-0.015791506317217596
f2,F2,36.56366305696715,-2.09,34.473663056967155,SHCI_PBE_D0,36.93,36.93,-2.456336943032845
be_h,BeH,47.025903606084185,-2.94,44.08590360608419,SHCI_PBE_D0,47.8,47.7,-3.71409639391581
li_h,LiH,57.7737314615605,-2.01,55.7637314615605,SHCI_PBE_D0,56.02,55.7,-0.2562685384394996
cl2,Cl2,55.100438701305585,-2.62,52.48043870130559,SHCI_PBE_D0,56.75,57.18,-4.269561298694413
cl_f,ClF,60.20350881332694,-2.51,57.69350881332694,SHCI_PBE_D0,59.99,60.35,-2.296491186673059
cl_o,ClO,61.100721189809605,-2.0300000000000002,59.0707211898096,SHCI_PBE_D0,63.07,63.42,-3.999278810190397
si2,Si2,68.28394746061448,-1.74,66.54394746061449,SHCI_PBE_D0,75.03,74.4,-8.486052539385511
n_h,NH,81.60295713182926,-4.71,76.89295713182926,SHCI_PBE_D0,78.55,78.36,-1.657042868170734
c_h,CH,82.78316015033187,-4.12,78.66316015033186,SHCI_PBE_D0,80.16,79.97,-1.4968398496681345
na_cl,NaCl,94.34256998578778,-1.6,92.74256998578778,SHCI_PBE_D0,96.85,97.4,-4.107430014212213
s2,S2,96.04192213933942,-2.44,93.60192213933942,SHCI_PBE_D0,101.51,100.8,-7.908077860660583
o_h,OH,106.68059599250746,-5.53,101.15059599250746,SHCI_PBE_D0,101.81,101.73,-0.6594040074925402
h_cl,HCl,106.8910624643008,-5.24,101.65106246430081,SHCI_PBE_D0,102.3,102.21,-0.64893753569919
p2,P2,104.25189557187778,-1.36,102.89189557187778,SHCI_PBE_D0,116.29,116.0,-13.398104428122224
o2,O2,117.48454090076201,-2.87,114.61454090076201,SHCI_PBE_D0,117.95,117.99,-3.335459099237994
s_o,SO,123.02554967587662,-2.7199999999999998,120.30554967587662,SHCI_PBE_D0,123.67,123.5,-3.364450324123382
si_h2_triplet,SiH2(3B1),129.86315322506454,-8.3,121.56315322506454,SHCI_PBE_D0,124.42,123.4,-2.8568467749354625
h_f,HF,141.94972444736808,-6.44,135.5097244473681,SHCI_PBE_D0,135.37,135.27,0.13972444736808143
li_f,LiF,136.27354470735102,-1.9,134.37354470735102,SHCI_PBE_D0,137.34,137.6,-2.9664552926489876
p_h2,PH2,150.07225449552305,-8.6,141.47225449552306,SHCI_PBE_D0,145.96,144.7,-4.487745504476948
si_h2_singlet,SiH2(1A1),150.7258013312707,-7.8999999999999995,142.8258013312707,SHCI_PBE_D0,146.05,144.1,-3.224198668729315
n_o,NO,149.63622579372898,-2.94,146.69622579372898,SHCI_PBE_D0,150.23,149.81,-3.533774206271005
h_o_cl,HOCl,162.6061436695654,-9.68,152.9261436695654,SHCI_PBE_D0,156.93,156.88,-4.0038563304346155
c_s,CS,167.53053534218864,-2.63,164.90053534218865,SHCI_PBE_D0,169.67,170.4,-4.769464657811341
c_h2_singlet,CH2(1A1),179.33600315530612,-10.459999999999999,168.8760031553061,SHCI_PBE_D0,171.1,170.83,-2.223996844693886
n_h2,NH2,180.25573623685483,-11.76,168.49573623685484,SHCI_PBE_D0,171.1,170.59,-2.6042637631451555
h2_s,H2S,181.69674258873445,-10.33,171.36674258873444,SHCI_PBE_D0,173.41,173.2,-2.0432574112655573
c_n,CN,176.9320717176745,-3.1900000000000004,173.7420717176745,SHCI_PBE_D0,178.58,178.12,-4.837928282325521
c_h2_triplet,CH2(3B1),189.09384995671172,-10.780000000000001,178.31384995671172,SHCI_PBE_D0,179.95,179.83,-1.6361500432882679
si_o,SiO,189.08040949632232,-2.68,186.4004094963223,SHCI_PBE_D0,190.53,189.8,-4.12959050367769
si_h3,SiH3,224.2771873688736,-14.0,210.2771873688736,SHCI_PBE_D0,214.02,212.2,-3.7428126311264123
h2_o,H2O,232.80110438610538,-13.75,219.05110438610538,SHCI_PBE_D0,219.51,219.37,-0.45889561389461164
n2,N2,225.4886829043233,-3.5,221.9886829043233,SHCI_PBE_D0,225.62,224.94,-3.6313170956767067
p_h3,PH3,236.9912774734876,-14.879999999999999,222.1112774734876,SHCI_PBE_D0,227.36,227.1,-5.24872252651241
h2_o2,H2O2,266.82769068254487,-17.26,249.56769068254488,SHCI_PBE_D0,252.33,252.21,-2.7623093174551343
s_o2,SO2,254.9055019411684,-6.17,248.73550194116842,SHCI_PBE_D0,255.0,254.46,-6.2644980588315775
c_o,CO,258.0902644910693,-3.55,254.5402644910693,SHCI_PBE_D0,256.47,256.23,-1.9297355089307189
h_c_o,HCO,276.62352244591125,-8.68,267.94352244591124,SHCI_PBE_D0,270.92,270.76,-2.976477554088774
n_h3,NH3,295.87919881969947,-21.6,274.27919881969945,SHCI_PBE_D0,276.97,276.59,-2.690801180300582
c_h3,CH3,306.148424972779,-18.8,287.348424972779,SHCI_PBE_D0,289.18,289.11,-1.8315750272209925
h_c_n,HCN,309.37325697004627,-10.26,299.1132569700463,SHCI_PBE_D0,303.76,303.14,-4.646743029953711
si_h4,SiH4,320.6093184036734,-20.4,300.2093184036734,SHCI_PBE_D0,304.27,302.6,-4.06068159632656
h2_c_o,H2CO,371.9711208221903,-17.169999999999998,354.8011208221903,SHCI_PBE_D0,357.88,357.48,-3.0788791778097107
c_h3_cl,CH3Cl,392.23360288345594,-24.59,367.64360288345597,SHCI_PBE_D0,371.53,371.35,-3.8863971165440034
c_o2,CO2,385.71734842000046,-8.25,377.46734842000046,SHCI_PBE_D0,382.46,381.98,-4.992651579999517
c2_h2,C2H2,401.04425812783586,-16.96,384.0842581278359,SHCI_PBE_D0,388.84,388.64,-4.755741872164094
c_h4,CH4,419.12245050676614,-28.009999999999998,391.11245050676615,SHCI_PBE_D0,392.56,392.47,-1.4475494932338506
n2_h4,N2H4,433.882503175155,-33.19,400.692503175155,SHCI_PBE_D0,406.6,404.81,-5.907496824844998
h3_c_s_h,H3CSH,469.96221178292717,-29.8,440.16221178292716,SHCI_PBE_D0,445.91,445.1,-5.747788217072866
h3_c_o_h,H3COH,511.56836204542293,-32.519999999999996,479.04836204542295,SHCI_PBE_D0,481.52,480.97,-2.4716379545770337
si2_h6,Si2H6,525.3874345681546,-32.5,492.8874345681546,SHCI_PBE_D0,503.34,500.1,-10.452565431845358
c2_h4,C2H4,560.6585481692722,-32.16,528.4985481692722,SHCI_PBE_D0,532.09,532.04,-3.591451830727806
c2_h6,C2H6,710.1853818440738,-46.79,663.3953818440739,SHCI_PBE_D0,666.97,666.19,-3.574618155926146
