species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
be_h,BeH,50.04491762449725,-2.94,47.104917624497254,SHCI_PBE_D0,47.8,47.7,-0.6950823755027429
cl2,Cl2,59.25539776105845,-2.62,56.63539776105845,SHCI_PBE_D0,56.75,57.18,-0.11460223894155064
cl_f,ClF,62.94440977819762,-2.51,60.43440977819762,SHCI_PBE_D0,59.99,60.35,0.44440977819761684
cl_o,ClO,64.71821812403313,-2.0300000000000002,62.68821812403313,SHCI_PBE_D0,63.07,63.42,-0.3817818759668725
si2,Si2,75.7215701679373,-1.74,73.9815701679373,SHCI_PBE_D0,75.03,74.4,-1.0484298320626948
n_h,NH,82.94790593544933,-4.71,78.23790593544933,SHCI_PBE_D0,78.55,78.36,-0.3120940645506636
c_h,CH,84.03167973811034,-4.12,79.91167973811034,SHCI_PBE_D0,80.16,79.97,-0.24832026188965983
s2,S2,103.13606352627716,-2.44,100.69606352627716,SHCI_PBE_D0,101.51,100.8,-0.8139364737228476
o_h,OH,107.21425219279675,-5.53,101.68425219279675,SHCI_PBE_D0,101.81,101.73,-0.12574780720325407
h_cl,HCl,107.62595877669277,-5.24,102.38595877669277,SHCI_PBE_D0,102.3,102.21,0.0859587766927774
p2,P2,115.85808129749998,-1.36,114.49808129749998,SHCI_PBE_D0,116.29,116.0,-1.791918702500027
o2,O2,119.79338249760205,-2.87,116.92338249760205,SHCI_PBE_D0,117.95,117.99,-1.0266175023979542
s_o,SO,126.63376110828483,-2.7199999999999998,123.91376110828483,SHCI_PBE_D0,123.67,123.5,0.24376110828482922
si_h2_triplet,SiH2(3B1),133.1367545690343,-8.3,124.83675456903431,SHCI_PBE_D0,124.42,123.4,0.4167545690343104
h_f,HF,141.81062861338847,-6.44,135.37062861338848,SHCI_PBE_D0,135.37,135.27,0.0006286133884714218
p_h2,PH2,154.69851516824482,-8.6,146.09851516824483,SHCI_PBE_D0,145.96,144.7,0.13851516824482246
si_h2_singlet,SiH2(1A1),154.09906701803837,-7.8999999999999995,146.19906701803836,SHCI_PBE_D0,146.05,144.1,0.14906701803835176
n_o,NO,152.32383485196257,-2.94,149.38383485196258,SHCI_PBE_D0,150.23,149.81,-0.8461651480374144
h_o_cl,HOCl,166.4690578478738,-9.68,156.7890578478738,SHCI_PBE_D0,156.93,156.88,-0.14094215212620043
c_s,CS,171.66310391580637,-2.63,169.03310391580638,SHCI_PBE_D0,169.67,170.4,-0.6368960841936087
c_h2_singlet,CH2(1A1),181.12809045301282,-10.459999999999999,170.6680904530128,SHCI_PBE_D0,171.1,170.83,-0.4319095469871854
n_h2,NH2,182.38520235356742,-11.76,170.62520235356743,SHCI_PBE_D0,171.1,170.59,-0.47479764643256317
h2_s,H2S,184.2350329488375,-10.33,173.9050329488375,SHCI_PBE_D0,173.41,173.2,0.4950329488374905
c_n,CN,180.26610312069647,-3.1900000000000004,177.07610312069647,SHCI_PBE_D0,178.58,178.12,-1.5038968793035394
c_h2_triplet,CH2(3B1),190.73339735939874,-10.780000000000001,179.95339735939874,SHCI_PBE_D0,179.95,179.83,0.0033973593987468576
si_o,SiO,193.64106235675283,-2.68,190.96106235675282,SHCI_PBE_D0,190.53,189.8,0.43106235675281823
si_h3,SiH3,228.602210044681,-14.0,214.602210044681,SHCI_PBE_D0,214.02,212.2,0.582210044680977
h2_o,H2O,233.1465629719188,-13.75,219.3965629719188,SHCI_PBE_D0,219.51,219.37,-0.1134370280811936
n2,N2,227.94102007828215,-3.5,224.44102007828215,SHCI_PBE_D0,225.62,224.94,-1.178979921717854
p_h3,PH3,242.682156427131,-14.879999999999999,227.802156427131,SHCI_PBE_D0,227.36,227.1,0.4421564271309819
h2_o2,H2O2,269.04980872620354,-17.26,251.78980872620355,SHCI_PBE_D0,252.33,252.21,-0.5401912737964665
c_o,CO,259.72629139618726,-3.55,256.17629139618725,SHCI_PBE_D0,256.47,256.23,-0.2937086038127745
n_h3,NH3,297.9138406306454,-21.6,276.31384063064536,SHCI_PBE_D0,276.97,276.59,-0.6561593693546683
c_h3,CH3,307.9183938454077,-18.8,289.1183938454077,SHCI_PBE_D0,289.18,289.11,-0.06160615459231167
h_c_n,HCN,312.9915432998704,-10.26,302.7315432998704,SHCI_PBE_D0,303.76,303.14,-1.0284567001295954
si_h4,SiH4,325.61797288178974,-20.4,305.21797288178976,SHCI_PBE_D0,304.27,302.6,0.9479728817897808
h2_c_o,H2CO,374.66934596082626,-17.169999999999998,357.49934596082625,SHCI_PBE_D0,357.88,357.48,-0.3806540391737485
c_h3_cl,CH3Cl,396.5702798635319,-24.59,371.9802798635319,SHCI_PBE_D0,371.53,371.35,0.4502798635319323
c_o2,CO2,390.3472357548798,-8.25,382.0972357548798,SHCI_PBE_D0,382.46,381.98,-0.3627642451201609
c2_h2,C2H2,405.10577625597847,-16.96,388.1457762559785,SHCI_PBE_D0,388.84,388.64,-0.6942237440214853
c_h4,CH4,420.56304006936233,-28.009999999999998,392.55304006936234,SHCI_PBE_D0,392.56,392.47,-0.006959930637663092
h3_c_s_h,H3CSH,475.85324842190124,-29.8,446.05324842190123,SHCI_PBE_D0,445.91,445.1,0.14324842190120535
h3_c_o_h,H3COH,513.972157870732,-32.519999999999996,481.452157870732,SHCI_PBE_D0,481.52,480.97,-0.06784212926800137
c2_h4,C2H4,563.8444521343954,-32.16,531.6844521343954,SHCI_PBE_D0,532.09,532.04,-0.40554786560460343
c2_h6,C2H6,713.3805362815278,-46.79,666.5905362815279,SHCI_PBE_D0,666.97,666.19,-0.3794637184721523
