species,shci_name,ae_raw,correction,ae_corrected,ref_label,ref_value,expt,discrepancy
na2,Na2,17.04000855145909,-0.2,16.84000855145909,SHCI_PBE_D0,16.85,17.0,-0.009991448540912273
be_h,BeH,50.485235604530715,-2.94,47.54523560453072,SHCI_PBE_D0,47.8,47.7,-0.2547643954692802
cl2,Cl2,59.62166515839428,-2.62,57.00166515839428,SHCI_PBE_D0,56.75,57.18,0.2516651583942817
cl_o,ClO,65.03370041660551,-2.0300000000000002,63.00370041660551,SHCI_PBE_D0,63.07,63.42,-0.06629958339448905
si2,Si2,75.27509517344845,-1.74,73.53509517344845,SHCI_PBE_D0,75.03,74.4,-1.4949048265515472
n_h,NH,83.14818521510941,-4.71,78.43818521510941,SHCI_PBE_D0,78.55,78.36,-0.1118147848905835
c_h,CH,84.12915947258185,-4.12,80.00915947258184,SHCI_PBE_D0,80.16,79.97,-0.15084052741815412
na_cl,NaCl,98.89120218623165,-1.6,97.29120218623166,SHCI_PBE_D0,96.85,97.4,0.4412021862316635
s2,S2,103.15246076540969,-2.44,100.71246076540969,SHCI_PBE_D0,101.51,100.8,-0.7975392345903174
o_h,OH,107.25804564350672,-5.53,101.72804564350672,SHCI_PBE_D0,101.81,101.73,-0.08195435649328431
h_cl,HCl,107.95100013132074,-5.24,102.71100013132074,SHCI_PBE_D0,102.3,102.21,0.41100013132074764
p2,P2,115.43826317787351,-1.36,114.07826317787351,SHCI_PBE_D0,116.29,116.0,-2.211736822126497
o2,O2,119.64227679619772,-2.87,116.77227679619772,SHCI_PBE_D0,117.95,117.99,-1.1777232038022873
s_o,SO,126.81656779140363,-2.7199999999999998,124.09656779140363,SHCI_PBE_D0,123.67,123.5,0.42656779140362744
si_h2_triplet,SiH2(3B1),133.0962928528908,-8.3,124.7962928528908,SHCI_PBE_D0,124.42,123.4,0.37629285289079917
p_h2,PH2,154.29708223222204,-8.6,145.69708223222204,SHCI_PBE_D0,145.96,144.7,-0.2629177677779637
si_h2_singlet,SiH2(1A1),154.14545290425812,-7.8999999999999995,146.24545290425812,SHCI_PBE_D0,146.05,144.1,0.19545290425810435
